Theta,Sin Value
0.0,0.0
0.017453292519943295,0.0174524064
0.03490658503988659,0.0348994967
0.05235987755982989,0.0523359562
0.06981317007977318,0.0697564737
0.08726646259971647,0.0871557427
0.10471975511965978,0.1045284632
0.12217304763960307,0.1218693434
0.13962634015954636,0.1391731009
0.15707963267948966,0.156434465
0.17453292519943295,0.1736481776
0.19198621771937624,0.1908089953
0.20943951023931956,0.2079116908
0.22689280275926285,0.2249510543
0.24434609527920614,0.2419218955
0.2617993877991494,0.2588190451
0.2792526803190927,0.2756373558
0.29670597283903605,0.2923717047
0.3141592653589793,0.3090169943
0.33161255787892263,0.3255681544
0.3490658503988659,0.3420201433
0.3665191429188092,0.3583679495
0.3839724354387525,0.3746065934
0.4014257279586958,0.3907311284
0.4188790204786391,0.406736643
0.4363323129985824,0.4226182617
0.4537856055185257,0.4383711467
0.47123889803846897,0.4539904997
0.4886921905584123,0.4694715627
0.5061454830783556,0.4848096202
0.5235987755982988,0.4999999999
0.5410520681182421,0.5150380749
0.5585053606381855,0.5299192642
0.5759586531581288,0.544639035
0.5934119456780721,0.5591929034
0.6108652381980153,0.5735764363
0.6283185307179586,0.5877852522
0.6457718232379019,0.6018150231
0.6632251157578453,0.6156614753
0.6806784082777885,0.629320391
0.6981317007977318,0.6427876096
0.7155849933176751,0.6560590289
0.7330382858376184,0.6691306063
0.7504915783575618,0.68199836
0.767944870877505,0.6946583704
0.7853981633974483,0.7071067811
0.8028514559173916,0.7193398003
0.8203047484373349,0.7313537016
0.8377580409572782,0.7431448254
0.8552113334772214,0.7547095802
0.8726646259971648,0.7660444431
0.8901179185171081,0.7771459614
0.9075712110370514,0.7880107536
0.9250245035569946,0.79863551
0.9424777960769379,0.8090169943
0.9599310885968813,0.8191520442
0.9773843811168246,0.8290375725
0.9948376736367679,0.8386705679
1.0122909661567112,0.8480480961
1.0297442586766545,0.8571673007
1.0471975511965976,0.8660254037
1.064650843716541,0.8746197071
1.0821041362364843,0.8829475928
1.0995574287564276,0.8910065241
1.117010721276371,0.8987940462
1.1344640137963142,0.906307787
1.1519173063162575,0.9135454576
1.1693705988362009,0.9205048534
1.1868238913561442,0.9271838545
1.2042771838760873,0.9335804264
1.2217304763960306,0.9396926207
1.239183768915974,0.9455185755
1.2566370614359172,0.9510565162
1.2740903539558606,0.9563047559
1.2915436464758039,0.9612616959
1.3089969389957472,0.9659258262
1.3264502315156905,0.9702957262
1.3439035240356338,0.9743700647
1.361356816555577,0.9781476007
1.3788101090755203,0.9816271834
1.3962634015954636,0.984807753
1.413716694115407,0.9876883405
1.4311699866353502,0.9902680687
1.4486232791552935,0.9925461516
1.4660765716752369,0.9945218953
1.4835298641951802,0.996194698
1.5009831567151235,0.9975640502
1.5184364492350666,0.9986295347
1.53588974175501,0.999390827
1.5533430342749532,0.9998476951
1.5707963267948966,1.0
1.5882496193148399,0.9998476951
1.6057029118347832,0.999390827
1.6231562043547265,0.9986295347
1.6406094968746698,0.9975640502
1.6580627893946132,0.996194698
1.6755160819145565,0.9945218953
1.6929693744344996,0.9925461516
1.710422666954443,0.9902680687
1.7278759594743862,0.9876883405
1.7453292519943295,0.984807753
1.7627825445142729,0.9816271834
1.7802358370342162,0.9781476007
1.7976891295541595,0.9743700647
1.8151424220741028,0.9702957262
1.8325957145940461,0.9659258262
1.8500490071139892,0.9612616959
1.8675022996339325,0.9563047559
1.8849555921538759,0.9510565162
1.9024088846738192,0.9455185755
1.9198621771937625,0.9396926207
1.9373154697137058,0.9335804264
1.9547687622336491,0.9271838545
1.9722220547535925,0.9205048534
1.9896753472735358,0.9135454576
2.007128639793479,0.906307787
2.0245819323134224,0.8987940462
2.0420352248333655,0.8910065241
2.059488517353309,0.8829475928
2.076941809873252,0.8746197071
2.0943951023931953,0.8660254037
2.111848394913139,0.8571673007
2.129301687433082,0.8480480961
2.1467549799530254,0.8386705679
2.1642082724729685,0.8290375725
2.181661564992912,0.8191520442
2.199114857512855,0.8090169943
2.2165681500327987,0.79863551
2.234021442552742,0.7880107536
2.251474735072685,0.7771459614
2.2689280275926285,0.7660444431
2.2863813201125716,0.7547095802
2.303834612632515,0.7431448254
2.321287905152458,0.7313537016
2.3387411976724017,0.7193398003
2.356194490192345,0.7071067811
2.3736477827122884,0.6946583704
2.3911010752322315,0.68199836
2.4085543677521746,0.6691306063
2.426007660272118,0.6560590289
2.443460952792061,0.6427876096
2.4609142453120048,0.629320391
2.478367537831948,0.6156614753
2.4958208303518914,0.6018150231
2.5132741228718345,0.5877852522
2.530727415391778,0.5735764363
2.548180707911721,0.5591929034
2.5656340004316642,0.544639035
2.5830872929516078,0.5299192642
2.600540585471551,0.5150380749
2.6179938779914944,0.4999999999
2.6354471705114375,0.4848096202
2.652900463031381,0.4694715627
2.670353755551324,0.4539904997
2.6878070480712677,0.4383711467
2.705260340591211,0.4226182617
2.722713633111154,0.406736643
2.7401669256310974,0.3907311284
2.7576202181510405,0.3746065934
2.775073510670984,0.3583679495
2.792526803190927,0.3420201433
2.8099800957108707,0.3255681544
2.827433388230814,0.3090169943
2.8448866807507573,0.2923717047
2.8623399732707004,0.2756373558
2.8797932657906435,0.2588190451
2.897246558310587,0.2419218955
2.91469985083053,0.2249510543
2.9321531433504737,0.2079116908
2.949606435870417,0.1908089953
2.9670597283903604,0.1736481776
2.9845130209103035,0.156434465
3.001966313430247,0.1391731009
3.01941960595019,0.1218693434
3.036872898470133,0.1045284632
3.0543261909900767,0.0871557427
3.07177948351002,0.0697564737
3.0892327760299634,0.0523359562
3.1066860685499065,0.0348994967
3.12413936106985,0.0174524064
3.141592653589793,0.0
3.1590459461097367,-0.0174524065
3.1764992386296798,-0.0348994968
3.193952531149623,-0.0523359563
3.2114058236695664,-0.0697564738
3.2288591161895095,-0.0871557428
3.246312408709453,-0.1045284633
3.263765701229396,-0.1218693435
3.2812189937493397,-0.139173101
3.2986722862692828,-0.1564344651
3.3161255787892263,-0.1736481777
3.3335788713091694,-0.1908089954
3.351032163829113,-0.2079116909
3.368485456349056,-0.2249510544
3.385938748868999,-0.2419218956
3.4033920413889427,-0.2588190452
3.420845333908886,-0.2756373559
3.4382986264288293,-0.2923717048
3.4557519189487724,-0.3090169944
3.473205211468716,-0.3255681545
3.490658503988659,-0.3420201434
3.5081117965086026,-0.3583679496
3.5255650890285457,-0.3746065935
3.543018381548489,-0.3907311285
3.5604716740684323,-0.4067366431
3.5779249665883754,-0.4226182618
3.595378259108319,-0.4383711468
3.612831551628262,-0.4539904998
3.6302848441482056,-0.4694715628
3.6477381366681487,-0.4848096203
